trip_id,pattern_id
43R10,Fremont - Richmond_0_3
164OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
108OAK11,Coliseum - Oakland Int'l Airport_1_2
51SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
33R11,Fremont - Richmond_1_2
14R10SAT,Fremont - Richmond_0_3
01R11SUN,Fremont - Richmond_1_2
55OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
06DCM21SAT,Dublin/Pleasanton - Daly City_1_5
16R10SAT,Fremont - Richmond_0_3
45DCM11,Richmond - Daly City/Millbrae_1_4
45DCM10,Richmond - Daly City/Millbrae_0_2
40DCM21SUN,Dublin/Pleasanton - Daly City_1_5
37DCM10,Richmond - Daly City/Millbrae_0_2
37DCM11,Richmond - Daly City/Millbrae_1_4
86SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_8
86SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
83SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
83SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_8
01SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_10
125OAK10,Coliseum - Oakland Int'l Airport_0_1
108OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
47DCM20SAT,Dublin/Pleasanton - Daly City_0_2
140OAK11,Coliseum - Oakland Int'l Airport_1_2
140OAK10,Coliseum - Oakland Int'l Airport_0_1
66OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
24DCM21SAT,Dublin/Pleasanton - Daly City_1_5
40OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
32DCM21SAT,Dublin/Pleasanton - Daly City_1_5
31DCM21SAT,Dublin/Pleasanton - Daly City_1_5
34DCM20,Dublin/Pleasanton - Daly City_0_2
34DCM21,Dublin/Pleasanton - Daly City_1_5
49DCM21SUN,Dublin/Pleasanton - Daly City_1_5
64OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
144OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
33R11SUN,Fremont - Richmond_1_2
77OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
47SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_7
41DCM11,Richmond - Daly City/Millbrae_1_4
41DCM10,Richmond - Daly City/Millbrae_0_2
14OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
03R11,Fremont - Richmond_1_2
03R10,Fremont - Richmond_0_3
119OAK10,Coliseum - Oakland Int'l Airport_0_1
68DCM21,Dublin/Pleasanton - Daly City_1_6
68DCM20,Dublin/Pleasanton - Daly City_0_3
66OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
23DCM11,Richmond - Daly City/Millbrae_1_4
28DCM20,Dublin/Pleasanton - Daly City_0_2
41R11SAT,Fremont - Richmond_1_2
01SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_2
53DCM21,Dublin/Pleasanton - Daly City_1_6
53DCM20,Dublin/Pleasanton - Daly City_0_3
28OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
31SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_13
58DCM11,Richmond - Daly City/Millbrae_1_4
03DCM21SUN,Dublin/Pleasanton - Daly City_1_5
29OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
93OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
02R11SAT,Fremont - Richmond_1_2
184OAK11,Coliseum - Oakland Int'l Airport_1_2
153OAK11,Coliseum - Oakland Int'l Airport_1_2
153OAK10,Coliseum - Oakland Int'l Airport_0_1
96OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
36R11SAT,Fremont - Richmond_1_2
80SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_8
80SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
95OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
165OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
52OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
37OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
40SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_13
50DCM11,Richmond - Daly City/Millbrae_1_4
50DCM10,Richmond - Daly City/Millbrae_0_2
49OAK11,Coliseum - Oakland Int'l Airport_1_2
43R10SAT,Fremont - Richmond_0_3
124OAK11,Coliseum - Oakland Int'l Airport_1_2
124OAK10,Coliseum - Oakland Int'l Airport_0_1
79OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
19DCM21SAT,Dublin/Pleasanton - Daly City_1_5
113OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
56R11,Fremont - Richmond_1_2
56R10,Fremont - Richmond_0_3
02OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
73DCM21,Dublin/Pleasanton - Daly City_1_6
73DCM20,Dublin/Pleasanton - Daly City_0_3
47SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
03DCM10SAT,Richmond - Daly City/Millbrae_0_2
09OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
30SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
04SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_3
37R10SUN,Fremont - Richmond_0_3
40SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
28OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
90OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
47DCM21SAT,Dublin/Pleasanton - Daly City_1_5
01R11,Fremont - Richmond_1_1
01R10,Fremont - Richmond_0_3
35R11SAT,Fremont - Richmond_1_2
75OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
130OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
07DCM11,Richmond - Daly City/Millbrae_1_4
07DCM10,Richmond - Daly City/Millbrae_0_2
35SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
115OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
81OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
36SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
06OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
153OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
149OAK10,Coliseum - Oakland Int'l Airport_0_1
149OAK11,Coliseum - Oakland Int'l Airport_1_2
136OAK11,Coliseum - Oakland Int'l Airport_1_2
10R10SUN,Fremont - Richmond_0_3
108OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
136OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
17R10SUN,Fremont - Richmond_0_3
03OAK10,Coliseum - Oakland Int'l Airport_0_1
03OAK11,Coliseum - Oakland Int'l Airport_1_2
39SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_7
37SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_13
62DCM10,Richmond - Daly City/Millbrae_0_2
62DCM11,Richmond - Daly City/Millbrae_1_4
34DC11,Fremont - Daly City_1_1
34DC10,Fremont - Daly City_0_2
14DCM20SAT,Dublin/Pleasanton - Daly City_0_2
39R10,Fremont - Richmond_0_3
39R11,Fremont - Richmond_1_2
176OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
95OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
28SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
109OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
02R10SUN,Fremont - Richmond_0_3
120OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
144OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
28R10,Fremont - Richmond_0_3
49SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
41DCM21SAT,Dublin/Pleasanton - Daly City_1_5
53OAK10,Coliseum - Oakland Int'l Airport_0_1
155OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
135OAK11,Coliseum - Oakland Int'l Airport_1_2
135OAK10,Coliseum - Oakland Int'l Airport_0_1
22DCM10,Richmond - Daly City/Millbrae_0_2
22DCM11,Richmond - Daly City/Millbrae_1_4
171OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
112OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
