,agency_id,dist,heading,length,pattern_id,point_id,route_dir,route_short_name,shape_id,shape_pt_sequence,trip_id
41,8.0,0.704324269799,176.26729018735205,0.011265693359,Pittsburg/Bay Point - SFIA/Millbrae_0_1,41.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,41.0,01SFO10
42,8.0,0.722204014638,176.08640645275887,0.0178797448394,Pittsburg/Bay Point - SFIA/Millbrae_0_1,42.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,42.0,01SFO10
43,8.0,0.735058701466,176.03588953643657,0.0128546868283,Pittsburg/Bay Point - SFIA/Millbrae_0_1,43.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,43.0,01SFO10
44,8.0,0.748397411086,175.70255647184388,0.0133387096192,Pittsburg/Bay Point - SFIA/Millbrae_0_1,44.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,44.0,01SFO10
45,8.0,0.761788547,175.68449014672274,0.0133911359142,Pittsburg/Bay Point - SFIA/Millbrae_0_1,45.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,45.0,01SFO10
46,8.0,0.771247364839,175.45607323330535,0.00945881783882,Pittsburg/Bay Point - SFIA/Millbrae_0_1,46.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,46.0,01SFO10
47,8.0,0.778074037142,175.5939279216625,0.00682667230378,Pittsburg/Bay Point - SFIA/Millbrae_0_1,47.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,47.0,01SFO10
48,8.0,0.783180703823,175.2153431744489,0.00510666668046,Pittsburg/Bay Point - SFIA/Millbrae_0_1,48.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,48.0,01SFO10
49,8.0,0.806257911458,175.25622007928303,0.0230772076356,Pittsburg/Bay Point - SFIA/Millbrae_0_1,49.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,49.0,01SFO10
50,8.0,0.82087830192,175.0606321061805,0.0146203904615,Pittsburg/Bay Point - SFIA/Millbrae_0_1,50.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,50.0,01SFO10
51,8.0,0.838501795955,174.94870552225154,0.0176234940352,Pittsburg/Bay Point - SFIA/Millbrae_0_1,51.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,51.0,01SFO10
52,8.0,0.856178256753,174.93285228108948,0.0176764607983,Pittsburg/Bay Point - SFIA/Millbrae_0_1,52.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,52.0,01SFO10
53,8.0,0.870973592309,175.10189340107559,0.014795335556,Pittsburg/Bay Point - SFIA/Millbrae_0_1,53.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,53.0,01SFO10
54,8.0,0.890069952197,175.0363685987155,0.0190963598872,Pittsburg/Bay Point - SFIA/Millbrae_0_1,54.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,54.0,01SFO10
55,8.0,0.904446345424,174.93480842736756,0.0143763932276,Pittsburg/Bay Point - SFIA/Millbrae_0_1,55.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,55.0,01SFO10
56,8.0,0.921048611005,175.17092302854007,0.0166022655806,Pittsburg/Bay Point - SFIA/Millbrae_0_1,56.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,56.0,01SFO10
57,8.0,0.934180302754,174.83059205414088,0.0131316917488,Pittsburg/Bay Point - SFIA/Millbrae_0_1,57.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,57.0,01SFO10
58,8.0,0.948450751261,174.97427246244513,0.0142704485074,Pittsburg/Bay Point - SFIA/Millbrae_0_1,58.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,58.0,01SFO10
59,8.0,0.96114258542,174.88753116636235,0.0126918341591,Pittsburg/Bay Point - SFIA/Millbrae_0_1,59.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,59.0,01SFO10
60,8.0,0.973394717713,174.9471652178504,0.0122521322931,Pittsburg/Bay Point - SFIA/Millbrae_0_1,60.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,60.0,01SFO10
61,8.0,0.989646759632,175.10056021623086,0.0162520419189,Pittsburg/Bay Point - SFIA/Millbrae_0_1,61.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,61.0,01SFO10
62,8.0,1.00370548083,175.0530207390849,0.0140587212019,Pittsburg/Bay Point - SFIA/Millbrae_0_1,62.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,62.0,01SFO10
63,8.0,1.02576811571,175.03035163314587,0.0220626348766,Pittsburg/Bay Point - SFIA/Millbrae_0_1,63.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,63.0,01SFO10
64,8.0,1.04233745884,174.99999900063608,0.0165693431319,Pittsburg/Bay Point - SFIA/Millbrae_0_1,64.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,64.0,01SFO10
65,8.0,1.0622760328,175.04754766057613,0.0199385739531,Pittsburg/Bay Point - SFIA/Millbrae_0_1,65.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,65.0,01SFO10
66,8.0,1.0823572257,174.9319867862513,0.0200811929018,Pittsburg/Bay Point - SFIA/Millbrae_0_1,66.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,66.0,01SFO10
67,8.0,1.11265153055,175.03164432100743,0.0302943048535,Pittsburg/Bay Point - SFIA/Millbrae_0_1,67.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,67.0,01SFO10
68,8.0,1.14714104457,175.02002220676036,0.0344895140165,Pittsburg/Bay Point - SFIA/Millbrae_0_1,68.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,68.0,01SFO10
69,8.0,1.17367950627,175.0186078364094,0.0265384616987,Pittsburg/Bay Point - SFIA/Millbrae_0_1,69.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,69.0,01SFO10
70,8.0,1.18449100535,175.06623726442797,0.0108114990808,Pittsburg/Bay Point - SFIA/Millbrae_0_1,70.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,70.0,01SFO10
71,8.0,1.20606597747,174.8589262745171,0.0215749721195,Pittsburg/Bay Point - SFIA/Millbrae_0_1,71.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,71.0,01SFO10
72,8.0,1.22444188029,175.07570123167056,0.0183759028256,Pittsburg/Bay Point - SFIA/Millbrae_0_1,72.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,72.0,01SFO10
73,8.0,1.24545045236,175.07393728619866,0.0210085720651,Pittsburg/Bay Point - SFIA/Millbrae_0_1,73.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,73.0,01SFO10
74,8.0,1.26402182319,174.93620424377423,0.0185713708329,Pittsburg/Bay Point - SFIA/Millbrae_0_1,74.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,74.0,01SFO10
75,8.0,1.29486124621,174.9897096420808,0.0308394230206,Pittsburg/Bay Point - SFIA/Millbrae_0_1,75.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,75.0,01SFO10
76,8.0,1.31960918385,175.02391747991283,0.0247479376351,Pittsburg/Bay Point - SFIA/Millbrae_0_1,76.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,76.0,01SFO10
77,8.0,1.35028976482,175.0171638815333,0.0306805809769,Pittsburg/Bay Point - SFIA/Millbrae_0_1,77.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,77.0,01SFO10
78,8.0,1.37828472733,175.0230507417731,0.0279949625107,Pittsburg/Bay Point - SFIA/Millbrae_0_1,78.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,78.0,01SFO10
